state,name,temp,mo,da,wban,stn,c,rain,lat,long
CA,SAN FRANCISCO,61.5,10,11,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.3,10,22,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.9,11,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.2,11,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.7,11,16,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,49.1,01,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.3,01,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.0,01,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.6,04,20,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.1,05,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.1,05,13,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.9,05,16,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.2,06,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.1,07,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,63.2,08,01,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,64.8,08,16,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.0,08,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,64.6,09,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,64.5,10,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,48.1,12,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.7,01,17,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.1,02,05,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.2,03,22,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.0,04,22,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,52.9,05,12,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.4,06,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.2,06,17,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.4,06,23,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.4,07,17,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.7,07,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,64.0,08,04,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.2,08,19,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,60.0,09,14,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,58.8,09,15,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.2,10,18,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,62.3,10,28,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.3,11,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.8,12,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.5,02,10,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.8,02,12,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.6,02,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,54.7,02,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.7,03,07,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.5,03,11,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,53.5,04,24,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.3,06,05,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,55.3,06,08,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,59.5,06,27,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.6,08,12,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,61.2,08,25,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,56.0,11,03,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,48.2,11,26,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,57.1,12,09,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,44.2,12,27,99999,994016,1,0,37800.0,-122467.0
CA,SAN FRANCISCO,57.6,01,07,99999,994016,1,0,37800.0,-122467.0
