state,name,temp,mo,da,wban,stn,c,rain,lat,long
MA,BOSTON,68.7,05,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.5,06,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,72.4,07,03,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,75.9,07,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,67.5,07,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,72.0,08,10,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,79.2,08,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,69.3,08,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.1,08,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.1,09,05,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,78.0,09,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,61.4,09,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.0,10,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,50.8,10,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,53.9,11,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,45.9,11,14,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,42.9,12,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,22.6,02,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,15.0,02,14,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,56.6,05,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,67.7,05,29,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,73.9,06,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,84.7,07,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,78.0,08,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,80.1,08,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,61.3,09,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,57.2,09,27,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,55.4,12,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,27.2,01,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,38.6,01,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,32.9,01,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,26.3,03,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,50.1,04,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,56.7,04,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,58.5,04,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,67.2,05,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.4,06,05,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,67.8,06,21,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.9,07,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.4,07,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,80.0,08,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,79.7,08,03,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.3,08,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,53.6,10,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.3,10,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,53.2,11,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,36.9,12,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,12.1,02,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,34.0,03,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,37.8,03,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,43.8,03,31,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,35.7,04,09,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.7,04,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,48.2,06,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,60.0,06,07,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.8,06,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,74.3,06,25,99999,994971,1,0,42350.0,-71050.0
